event,classification,gender,world_record,world_record_display,paralympics_gold,paralympics_bronze,paralympics_8th_place,paralympics_semi_qualifying,paralympics_heat_qualifying,wc_gold,wc_bronze,wc_8th_place,wc_semi_qualifying,wc_heat_qualifying,asian_gold,asian_bronze,asian_8th_place,saudi_best,saudi_best_athlete,saudi_world_rank,gap_to_para_gold,gap_to_para_bronze,gap_to_para_8th,gap_to_world_record,yearly_trend,total_results
Club Throw,F31,M,,,40.33,38.61,,,,7.1,35.18,27.86,,,,,,,,,,,,,-2.885,16
High Jump,T64,M,,,,,,,,,,,,,,,,,,,,,,,0.009999999999999787,4
High Jump,T44,M,,,2.123333333333333,2.04,,,,2.035,2.0066666666666664,1.76,,,,,,,,,,,,,0.009999999999999787,29
High Jump,T47,M,,,,1.99,,,,,1.96,1.79,,,,,,,,,,,,,0.054999999999999716,11
High Jump,T46,M,,,2.12,2.06,1.92,,,2.05,2.04,,,,,,,,,,,,,,53.83,10
High Jump,T45,M,,,,,,,,,,1.79,,,,,,,,,,,,,0.054999999999999716,8
High Jump,T43,M,,,,,,,,,,1.77,,,,,,,,,,,,,0.26500000000000057,3
High Jump,T63,M,,,1.94,,1.72,,,,1.82,,,,,,,,,,,,,,0.01499999999999968,5
High Jump,T42,M,,,1.94,1.85,1.72,,,1.895,1.835,1.7,,,,,,,,,,,,,-0.23499999999999943,20
Discus Throw (1.5kg),F44,M,,,,57.76,,,,60.13,52.48,,,,,,,,,,,,,,-0.015000000000000568,5
Discus Throw (1.5kg),F43,M,,,,57.76,,,,60.13,52.48,,,,,,,,,,,,,,1.5350000000000001,4
100m,T54,W,,,15.64,16.290000000000003,16.98,,,16.186666666666664,16.853333333333335,18.0,,18.39,,,,,,,,,,,-0.04999999999999982,56
100m,T53,W,,,15.64,16.16,,,,16.276000000000003,16.759999999999998,18.46,,18.17,,,,,,,,,,,0.11000000000000032,32
100m,T12,W,,,11.897857142857143,12.484285714285713,,,12.39,12.322857142857144,13.415,,,14.62,,,,,,,,,,,-0.0600000000000005,57
100m,T11,W,,,12.103636363636362,13.06625,,,12.19,12.257142857142858,12.793333333333331,,,14.34,,,,,,,,,,,0.08999999999999986,59
100m,T13,W,,,12.064285714285715,12.226,25.11,,12.38,12.04,12.57,,,12.34,,,,,,,,,,,-0.20500000000000007,44
100m,T64,W,,,12.61,12.72,13.73,,,12.85,13.02,13.969999999999999,,14.63,,,,21.34,Mutairah Alshammari,,8.73,8.62,7.609999999999999,,0.009999999999999787,31
100m,T37,W,,,12.846666666666666,13.5,13.9,,,13.11,14.04,14.89,,15.08,,,,,,,,,,,0.004999999999999893,39
100m,T44,W,,,,12.96,13.31,,,13.22,13.63,14.11,,,,,,,,,,,,,0.009999999999999787,15
100m,T34,W,,,17.263333333333335,18.873333333333335,20.07,,,17.435000000000002,19.314999999999998,,,20.27,,,,,,,,,,,0.09999999999999964,41
100m,T47,W,,,12.14,12.23,13.27,,12.19,,12.723333333333334,13.26,,13.23,,,,,,,,,,,0.054999999999999716,31
100m,T36,W,,,13.465,14.57,,,,13.35,14.0475,15.485,,16.15,,,,18.9,Sarah Aljumaah,,5.434999999999999,4.329999999999998,,,0.1200000000000001,47
100m,T38,W,,,12.489999999999998,12.696666666666667,13.473333333333334,,,13.003333333333332,13.333333333333334,13.49,,16.15,,,,,,,,,,,0.03500000000000014,44
100m,T46,W,,,12.129999999999999,12.375,,,12.26,12.349999999999998,12.78,,,13.15,,,,,,,,,,,53.83,25
100m,T51,W,,,,16.16,,,,16.88,16.95,,,,,,,,,,,,,,-0.4150000000000009,10
100m,T45,W,,,12.18,12.385,,,,12.456666666666665,12.72,,,13.87,,,,,,,,,,,0.054999999999999716,29
100m,T43,W,,,12.51,12.89,,,,12.71,13.0,14.11,,,,,,,,,,,,,0.26500000000000057,19
100m,T35,W,,,13.58,14.21,16.36,,,14.586666666666668,15.67,,,17.67,,,,,,,,,,,-0.08499999999999996,29
100m,T33,W,,,16.96,18.765,20.07,,,17.486666666666668,19.55333333333333,23.78,,23.84,,,,,,,,,,,0.004999999999999005,32
100m,T63,W,,,14.266666666666666,14.83,,,,14.39,16.11,17.03,,,,,,,,,,,,,0.01499999999999968,23
100m,T62,W,,,12.51,13.06,,,,12.423333333333332,13.24,,,13.48,,,,,,,,,,,0.07500000000000018,16
100m,F46,W,,,,12.54,13.22,,,12.434999999999999,,,,12.54,,,,,,,,,,,0.07499999999999929,7
100m,T42,W,,,,14.64,,,,14.65,15.385,,,,,,,,,,,,,,-0.23499999999999943,13
100m,F42,W,,,,14.64,,,,,,,,,,,,,,,,,,,0.33000000000000007,3
100m,T72,W,,,,,,,,17.165,19.09,23.53,,,,,,,,,,,,,0.07000000000000028,16
